인테리어목공 입문 및 건축목공기능사 자격증취득과정,가송인테리어목공기술학원,21/05/03~21/06/01,210503,210601,20일  총160시간,48.3,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000292128&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500034147891#undefined,37.6359708,127.0733947
미용사(네일)국가자격증 취득과정,K뷰티실용아카데미,21/05/03~21/08/11,210503,210811,42일  총250시간,58.3,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000291895&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500033961622#undefined,37.532774,126.650307
요양보호사자격증취득,김해사랑요양보호사교육원,21/05/03~21/06/11,210503,210611,30일  총240시간,60.7,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000290968&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020058840#undefined,35.2266703,128.8825238
전기기능사취득과정(필기+실기),빛고을전기학원,21/05/03~21/08/19,210503,210819,70일  총210시간,47.8,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000290534&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020048523#undefined,35.1296411,126.8863345
한식조리기능사자격증취득과정(이론+실기),전통외식조리직업전문학교,21/05/03~21/06/21,210503,210621,27일  총108시간,50.5,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000290305&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020043923#undefined,37.5043772,126.7702426
사무자동화(한글  엑셀  파워포인트)실무 초급  중급 양성과정,덕천미래컴퓨터학원,21/05/03~21/06/08,210503,210608,25일  총100시간,50.7,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000289922&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020014953#undefined,35.2111833,129.0085824
SCA 바리스타 Foundation 자격증 과정,남양주커피교육학원,21/05/03~21/06/01,210503,210601,20일  총60시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000289763&tracseTme=5&crseTracseSe=C0061&trainstCstmrId=500036114083#undefined,37.6552217,127.2445701
제과제빵자격증취득과정(이론+실기),대구제과제빵커피학원,21/05/03~21/07/15,210503,210715,50일  총200시간,38,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000289465&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500020019416#undefined,35.8641996,128.5970392
양식조리기능사취득,광산음식나라조리학원,21/05/03~21/06/15,210503,210615,30일  총105시간,42.4,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000289319&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500020056126#undefined,35.1853446,126.8319776
전기기능사 자격증 실기과정,제일전기학원,21/05/03~21/06/24,210503,210624,30일  총90시간,51.3,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000289105&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020045604#undefined,37.464319,126.6782627
[과정평가형] 헤어 미용사(일반) 자격증 취득,인천직업전문학교,21/05/03~21/08/20,210503,210820,78일  총470시간,57.9,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000288138&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020060755#undefined,37.4749963,126.6524296
컴퓨터활용실무 및 국가공인ITQ자격증(한글 엑셀 파워포인트),태봉컴퓨터전산학원,21/05/03~21/07/29,210503,210729,50일  총150시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000284610&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500020016742#undefined,35.176707,126.8890078
제과제빵기능사 취득과정,한국산업연수원충북직업전문학교(주),21/05/03~21/07/13,210503,210713,50일  총200시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000283216&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500020055493#undefined,36.63763,127.4869763
생활원예 인테리어 DIY 향상과정,광양평생교육개발원,21/05/03~21/05/28,210503,210528,18일  총72시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000282912&tracseTme=5&crseTracseSe=C0061&trainstCstmrId=500020025049#undefined,34.9417706,127.6858479
요양보호사 자격증 취득과정,우리요양보호사교육원,21/05/03~21/06/15,210503,210615,30일  총240시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000281779&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500035537258#undefined,35.1514557,126.8953214
NCS비적용 요양보호사 자격 취득과정,일등요양보호사교육원,21/05/03~21/07/09,210503,210709,30일  총240시간,62.2,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000279790&tracseTme=9&crseTracseSe=C0061&trainstCstmrId=500020028387#undefined,37.5017849,127.1407431
바리스타2급+커피지도사2급(브루잉) 자격취득과정,위례커피학원,21/05/03~21/06/08,210503,210608,25일  총100시간,50,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000278997&tracseTme=1&crseTracseSe='C006&trainstCstmrId='50003403150#undefined,37.4638047,127.1401969
에너지관리기능사 취득(실기),성민열관리기술학원,21/05/03~21/06/18,210503,210618,30일  총90시간,48,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000276982&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500020045130#undefined,37.5170877,126.9096474
제과제빵기능사 취득과정,(주)세일직업전문학교,21/05/03~21/06/18,210503,210618,33일  총198시간,45,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000276141&tracseTme=4&crseTracseSe=C0061&trainstCstmrId=500020015138#undefined,36.8265377,127.1415119
전산회계 기초부터 전산세무2급,미래경영교육원,21/05/03~21/07/14,210503,210714,51일  총252시간,61.8,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000275829&tracseTme=9&crseTracseSe=C0061&trainstCstmrId=500020056084#undefined,35.8706744,128.5943736
도배기능사자격취득(속성),다인직업전문학교,21/05/03~21/06/15,210503,210615,17일  총136시간,42,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000275589&tracseTme=7&crseTracseSe=C0061&trainstCstmrId=500020015811#undefined,37.5241978,126.852765
컴퓨터활용능력 1급(필기/실기) 취득과정,래이컴퓨터아트학원,21/05/03~21/06/07,210503,210607,24일  총120시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000274511&tracseTme=2&crseTracseSe=C0061&trainstCstmrId=500037090631#undefined,36.8224275,127.1584074
실무itq한글파워포인트엑셀&컴퓨터활용,남산컴퓨터학원,21/05/03~21/06/18,210503,210618,32일  총128시간,20,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000273993&tracseTme=5&crseTracseSe=C0061&trainstCstmrId=500020016287#undefined,35.203386,129.0830224
전산세무회계자격증취득과정(전산회계2급 1급 전산세무2급),다파회계컴퓨터학원,21/05/03~21/07/01,210503,210701,42일  총168시간,35.8,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000272925&tracseTme=6&crseTracseSe=C0061&trainstCstmrId=500020045234#undefined,35.5385227,129.3357557
한식자격증실기와 김치실무,한솔요리아카데미 강동,21/05/03~21/06/17,210503,210617,30일  총88시간,50.2,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20190000259046&tracseTme=5&crseTracseSe=C0061&trainstCstmrId=500020030731#undefined,37.5392954,127.123066
중식조리기능사취득[이론+실기],부천조리직업전문학교,21/05/03~21/06/08,210503,210608,25일  총75시간,62.2,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20190000258158&tracseTme=5&crseTracseSe=C0061&trainstCstmrId=500020023400#undefined,37.4869899,126.7763041
경리실무(전산회계1급 전산세무2급 TAT FAT) 자격취득 및 실무테크닉 (N2),강남 그린컴퓨터아카데미,21/05/03~21/07/16,210503,210716,53일  총210시간,62.3,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20190000255064&tracseTme=6&crseTracseSe=C0061&trainstCstmrId=500020046871#undefined,37.5007689,127.0268353
헤어미용자격증취득과정,뷰티패션중앙직업전문학교,21/05/03~21/07/22,210503,210722,54일  총320시간,44.1,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20190000250588&tracseTme=5&crseTracseSe=C0061&trainstCstmrId=500020013066#undefined,35.9416172,126.9475535
한식조리기능사 자격증 취득(이론+실기),거제요리전문학원,21/05/03~21/06/23,210503,210623,36일  총108시간,78.1,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20190000249341&tracseTme=3&crseTracseSe=C0061&trainstCstmrId=500020047216#undefined,34.8891771,128.6221962
커피바리스타기초양성과정(2급 핸드드립 카페메뉴),한국호텔관광실용전문학교,21/05/03~21/07/13,210503,210713,50일  총150시간,68.3,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20190000246117&tracseTme=1&crseTracseSe='C006&trainstCstmrId='50002001925#undefined,37.3170155,126.840934
CAD 캐드실무능력평가(CAT) 2급 자격증,남승화직업전문학교,21/05/03~21/06/08,210503,210608,25일  총100시간,52,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20190000244504&tracseTme=1&crseTracseSe='C006&trainstCstmrId='50002002087#undefined,37.3436354,127.9562142
ITQ자격증취득(한글  엑셀  파워포인트),벽제중앙컴퓨터학원,21/05/03~21/06/29,210503,210629,40일  총120시간,70,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20190000228673&tracseTme=1&crseTracseSe='C006&trainstCstmrId='50002005690#undefined,37.6885003,126.8649291
ITQ OA Master(한글  엑셀  파워포인트) 자격증 취득과정,덕천미래컴퓨터학원,21/05/03~21/06/08,210503,210608,25일  총100시간,50.7,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20180000215616&tracseTme=1&crseTracseSe='C006&trainstCstmrId='50002001495#undefined,35.2111833,129.0085824
미용사(일반) 헤어자격증 취득,양산미래직업학교,21/05/03~21/07/19,210503,210719,54일  총320시간,27.3,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20180000207489&tracseTme=5&crseTracseSe=C0061&trainstCstmrId=500020019302#undefined,35.338912,129.0287509
ITQ마스터(한글 엑셀 파워포인트)자격증 취득[사무자동화 OA활용],남승화직업전문학교,21/05/03~21/06/08,210503,210608,25일  총100시간,48.5,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20180000191599&tracseTme=2&crseTracseSe='C006&trainstCstmrId='50002002087#undefined,37.3436354,127.9562142
(자동차엔진정비)자동차엔진정비기능사 자격증취득(이론+실기),경기직업전문학교,21/05/03~21/09/02,210503,210902,84일  총499시간,25.6,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000289793&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020044266#undefined,37.2622125,127.0037754
(외선공사)외선전공,재) 한영교육재단 한국전기직업전문학교,21/05/03~21/10/29,210503,211029,110일  총780시간,58.3,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000297581&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020062183#undefined,37.9420221,127.2812902
(물류관리)물류무역관리실무자양성,한국멀티캠퍼스학원(구.한국멀티캠퍼스직업전문학교),21/05/03~21/08/24,210503,210824,80일  총640시간,-,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000302975&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020050319#undefined,35.1709907,129.0693011
(스마트웹&콘텐츠개발)반응형 UI/UX 웹퍼블리셔 전문가 양성(BL) B,더조은컴퓨터아카데미,21/05/03~21/10/18,210503,211018,115일  총843시간,65,https://www.hrd.go.kr/hrdp/co/pcobo/PCOBO0100P.do?tracseId=AIG20200000273909&tracseTme=1&crseTracseSe=C0061&trainstCstmrId=500020036576#undefined,37.5016976,127.0252653
